Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
SRR34737865_1	25.2613	0.951285	10907672825.0	76699952.0	0.491467	99.27385337333283	1.801363379030398
SRR34737866_1	27.0363	0.95267	11326730659.0	79583190.0	0.497014	99.27654525083813	2.158381183051052
SRR34737867_1	25.4986	0.955418	10836382514.0	75894530.0	0.4953	99.3246848059264	1.9112676886914375
SRR34737868_1	27.0061	0.956205	11030328172.0	77162620.0	0.488638	99.27912882100053	1.8381428938409943
SRR34737869_1	26.6367	0.953912	10651141612.0	74763932.0	0.49131	99.26787815261838	2.277072880725003
SRR34737870_1	25.698900000000002	0.949403	10822248281.0	76285894.0	0.499309	99.20845365503797	1.9974497542413605
SRR34737871_1	25.1712	0.951818	10405979657.0	73194846.0	0.503047	99.25918952582336	2.14633955694304
SRR34737872_1	26.8308	0.953326	11471241452.0	80560624.0	0.502243	99.33194605064371	2.2661404284399262
SRR34737873_1	25.3449	0.952261	10650164407.0	74874076.0	0.500616	99.2885060297477	2.1855423595653334
SRR34737874_1	25.6943	0.950949	10907121022.0	76776232.0	0.499396	99.26863944864024	2.1442975009141234
SRR34737875_1	25.124000000000002	0.951031	10621723319.0	74746628.0	0.500517	99.19085803073736	2.023417582970559
SRR34737876_1	25.3093	0.950226	10950915195.0	77079962.0	0.493862	99.24997728631989	1.7715344229169805
