Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR34737865_1	SRR34737865_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38349976.0	5.7 Gbp	0.0	36-150	49.0	44.23216846769697	149.4953725916282	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737865_2	SRR34737865_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38349976.0	5.7 Gbp	0.0	36-150	49.0	45.29558264505734	149.49596896749037	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737866_1	SRR34737866_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39791595.0	5.9 Gbp	0.0	36-150	49.0	42.716856326618554	149.3967985701503	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737866_2	SRR34737866_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39791595.0	5.9 Gbp	0.0	36-150	49.0	43.79260037701489	149.39762188472213	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737867_1	SRR34737867_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37947265.0	5.6 Gbp	0.0	36-150	49.0	45.11181693343996	149.4406302535901	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737867_2	SRR34737867_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37947265.0	5.6 Gbp	0.0	36-150	49.0	45.9159759334829	149.4483482011154	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737868_1	SRR34737868_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38581310.0	5.7 Gbp	0.0	36-150	48.0	42.821112537595965	149.49691275386968	150	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
SRR34737868_2	SRR34737868_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38581310.0	5.7 Gbp	0.0	36-150	48.0	43.73724277343135	149.4972820518536	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737869_1	SRR34737869_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37381966.0	5.5 Gbp	0.0	36-150	49.0	43.90156335078721	149.34692043751792	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737869_2	SRR34737869_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37381966.0	5.5 Gbp	0.0	36-150	49.0	44.93104172896072	149.34783138479128	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
