Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR34737865_1	55.76783153230303	49.0	149.4953725916282	150	9.090909090909092	38349976.0
SRR34737865_2	54.70441735494266	49.0	149.49596896749037	150	9.090909090909092	38349976.0
SRR34737866_1	57.283143673381446	49.0	149.3967985701503	150	9.090909090909092	39791595.0
SRR34737866_2	56.20739962298511	49.0	149.39762188472213	150	9.090909090909092	39791595.0
SRR34737867_1	54.88818306656004	49.0	149.4406302535901	150	9.090909090909092	37947265.0
SRR34737867_2	54.0840240665171	49.0	149.4483482011154	150	9.090909090909092	37947265.0
SRR34737868_1	57.178887462404035	48.0	149.49691275386968	150	9.090909090909092	38581310.0
SRR34737868_2	56.26275722656865	48.0	149.4972820518536	150	9.090909090909092	38581310.0
SRR34737869_1	56.09843664921279	49.0	149.34692043751792	150	9.090909090909092	37381966.0
SRR34737869_2	55.06895827103928	49.0	149.34783138479128	150	9.090909090909092	37381966.0
SRR34737870_1	56.91531691012906	49.0	149.42514549282205	150	9.090909090909092	38142947.0
SRR34737870_2	55.59074549262778	49.0	149.4258804386562	150	9.090909090909092	38142947.0
SRR34737871_1	55.310061503301185	50.0	149.36532536730797	150	9.090909090909092	36597423.0
SRR34737871_2	54.3947641162248	50.0	149.36591237585225	150	9.090909090909092	36597423.0
SRR34737872_1	58.7878796247611	50.0	149.36442441160833	150	9.090909090909092	40280312.0
SRR34737872_2	57.91108344347759	50.0	149.36498463567014	150	9.090909090909092	40280312.0
SRR34737873_1	58.1752636056794	50.0	149.37205470154984	150	9.090909090909092	37437038.0
SRR34737873_2	57.29553506122714	50.0	149.3728546847109	150	9.090909090909092	37437038.0
SRR34737874_1	57.88950981649733	49.0	149.39186590975186	150	9.090909090909092	38388116.0
SRR34737874_2	56.78481554306463	49.0	149.39244853797982	150	9.090909090909092	38388116.0
SRR34737875_1	56.40276904456769	50.0	149.42037840155143	150	9.090909090909092	37373314.0
SRR34737875_2	55.52244712105766	50.0	149.42092349637497	150	9.090909090909092	37373314.0
SRR34737876_1	57.56327772395785	49.0	149.51463447789453	150	9.090909090909092	38539981.0
SRR34737876_2	56.3169288470946	49.0	149.51502160833965	150	9.090909090909092	38539981.0
